TaxID,Chromosomes/RefSeq,,,,,,,,,,,,,
511145,NC_000913.3,,,,,,,,,,,,,
272947,NC_000963.1,,,,,,,,,,,,,
224308,NC_000964.3,,,,,,,,,,,,,
243230,NC_001263.1,NC_001264.1,,,,,,,,,,,,
-,NC_001263.1,,,,,,,,,,,,,
160492,NC_002488.3,,,,,,,,,,,,,
208964,NC_002516.2,,,,,,,,,,,,,
272558,NC_002570.2,,,,,,,,,,,,,
273075,NC_002578.1,,,,,,,,,,,,,
155864,NC_002655.2,,,,,,,,,,,,,
266835,NC_002678.2,,,,,,,,,,,,,
273116,NC_002689.2,,,,,,,,,,,,,
386585,NC_002695.1,,,,,,,,,,,,,
190650,NC_002696.2,,,,,,,,,,,,,
257310,NC_002927.3,,,,,,,,,,,,,
243164,NC_002936.3,,,,,,,,,,,,,
882,NC_002937.3,,,,,,,,,,,,,
243231,NC_002939.5,,,,,,,,,,,,,
272624,NC_002942.5,,,,,,,,,,,,,
262316,NC_002944.2,,,,,,,,,,,,,
160488,NC_002947.3,,,,,,,,,,,,,
227377,NC_002971.3,,,,,,,,,,,,,
265669,NC_002973.6,,,,,,,,,,,,,
272562,NC_003030.1,,,,,,,,,,,,,
266834,NC_003047.1,,,,,,,,,,,,,
176299,NC_003062.2,NC_003063.2,,,,,,,,,,,,
214092,NC_003143.1,,,,,,,,,,,,,
227882,NC_003155.4,,,,,,,,,,,,,
99287,NC_003197.1,,,,,,,,,,,,,
220341,NC_003198.1,,,,,,,,,,,,,
169963,NC_003210.1,,,,,,,,,,,,,
272626,NC_003212.1,,,,,,,,,,,,,
103690,NC_003272.1,,,,,,,,,,,,,
267608,NC_003295.1,,,,,,,,,,,,,
224914,NC_003318.1,NC_003317.1,,,,,,,,,,,,
227941,NC_003361.3,,,,,,,,,,,,,
195102,NC_003366.1,,,,,,,,,,,,,
196627,NC_003450.3,,,,,,,,,,,,,
188937,NC_003552.1,,,,,,,,,,,,,
100226,NC_003888.3,,,,,,,,,,,,,
192952,NC_003901.1,,,,,,,,,,,,,
190485,NC_003902.1,,,,,,,,,,,,,
222523,NC_003909.8,,,,,,,,,,,,,
198094,NC_003997.3,,,,,,,,,,,,,
220664,NC_004129.6,,,,,,,,,,,,,
221109,NC_004193.1,,,,,,,,,,,,,
189518,NC_004342.2,NC_004343.2,,,,,,,,,,,,
211586,NC_004347.2,,,,,,,,,,,,,
196164,NC_004369.1,,,,,,,,,,,,,
224911,NC_004463.1,,,,,,,,,,,,,
218491,NC_004547.2,,,,,,,,,,,,,
218496,NC_004551.1,,,,,,,,,,,,,
183190,NC_004556.1,,,,,,,,,,,,,
212717,NC_004557.1,,,,,,,,,,,,,
203267,NC_004572.3,,,,,,,,,,,,,
-,NC_004572.3,,,,,,,,,,,,,
223283,NC_004578.1,,,,,,,,,,,,,
209261,NC_004631.1,,,,,,,,,,,,,
226186,NC_004663.1,,,,,,,,,,,,,
226900,NC_004722.1,,,,,,,,,,,,,
228410,NC_004757.1,,,,,,,,,,,,,
243365,NC_005085.1,,,,,,,,,,,,,
251221,NC_005125.1,,,,,,,,,,,,,
243265,NC_005126.1,,,,,,,,,,,,,
258594,NC_005296.1,,,,,,,,,,,,,
264462,NC_005363.1,,,,,,,,,,,,,
-,NC_005363.1,,,,,,,,,,,,,
264730,NC_005773.3,,,,,,,,,,,,,
-,NC_005773.3,,,,,,,,,,,,,
267671,NC_005824.1,NC_005823.1,,,,,,,,,,,,
264201,NC_005861.1,,,,,,,,,,,,,
263820,NC_005877.1,,,,,,,,,,,,,
260799,NC_005945.1,,,,,,,,,,,,,
281309,NC_005957.1,,,,,,,,,,,,,
62977,NC_005966.1,,,,,,,,,,,,,
5478,NC_005967.2,NC_005968.1,NC_006026.1,NC_006027.1,NC_006028.2,NC_006029.1,NC_006030.1,NC_006031.1,NC_006032.2,NC_006033.2,NC_006034.2,NC_006035.2,NC_006036.2,NC_004691.1
28985,NC_006037.1,NC_006038.1,NC_006039.1,NC_006040.1,NC_006041.1,NC_006042.1,NC_006077.1,,,,,,,
284592,NC_006043.2,NC_006044.2,NC_006045.2,NC_006046.2,NC_006047.2,NC_006048.2,NC_006049.2,NC_010166.1,,,,,,
273123,NC_006155.1,,,,,,,,,,,,,
292459,NC_006177.1,,,,,,,,,,,,,
279010,NC_006270.3,,,,,,,,,,,,,
288681,NC_006274.1,,,,,,,,,,,,,
-,NC_006274.1,,,,,,,,,,,,,
279010,NC_006322.1,,,,,,,,,,,,,
272560,NC_006350.1,NC_006351.1,,,,,,,,,,,,
247156,NC_006361.1,,,,,,,,,,,,,
297246,NC_006368.1,,,,,,,,,,,,,
297245,NC_006369.1,,,,,,,,,,,,,
295319,NC_006511.1,,,,,,,,,,,,,
76114,NC_006513.1,,,,,,,,,,,,,
66692,NC_006582.1,,,,,,,,,,,,,
69014,NC_006624.1,,,,,,,,,,,,,
214684,NC_006670.1,NC_006684.1,NC_006685.1,NC_006686.1,NC_006687.1,NC_006691.1,NC_006692.1,NC_006693.1,NC_006694.1,NC_006679.1,NC_006680.1,NC_006681.1,NC_006682.1,NC_006683.1
302409,NC_006831.1,,,,,,,,,,,,,
291331,NC_006834.1,,,,,,,,,,,,,
321314,NC_006905.1,,,,,,,,,,,,,
262698,NC_006933.1,NC_006932.1,,,,,,,,,,,,
196627,NC_006958.1,,,,,,,,,,,,,
205918,NC_007005.1,,,,,,,,,,,,,
314565,NC_007086.1,,,,,,,,,,,,,
306537,NC_007164.1,,,,,,,,,,,,,
279808,NC_007168.1,,,,,,,,,,,,,
259536,NC_007204.1,,,,,,,,,,,,,
159087,NC_007298.1,,,,,,,,,,,,,
269800,NC_007333.1,,,,,,,,,,,,,
264198,NC_007347.1,NC_007348.1,,,,,,,,,,,,
342451,NC_007350.1,,,,,,,,,,,,,
269797,NC_007355.1,,,,,,,,,,,,,
255470,NC_007356.1,,,,,,,,,,,,,
292415,NC_007404.1,,,,,,,,,,,,,
323098,NC_007406.1,,,,,,,,,,,,,
320372,NC_007434.1,NC_007435.1,,,,,,,,,,,,
205922,NC_007492.2,,,,,,,,,,,,,
272943,NC_007494.2,NC_007493.2,,,,,,,,,,,,
338963,NC_007498.2,,,,,,,,,,,,,
316273,NC_007508.1,,,,,,,,,,,,,
482957,NC_007511.1,NC_007510.1,NC_007509.1,,,,,,,,,,,
319225,NC_007512.1,,,,,,,,,,,,,
340177,NC_007514.1,,,,,,,,,,,,,
269799,NC_007517.1,,,,,,,,,,,,,
207559,NC_007519.1,,,,,,,,,,,,,
261594,NC_007530.2,,,,,,,,,,,,,
300268,NC_007613.1,,,,,,,,,,,,,
323848,NC_007614.1,,,,,,,,,,,,,
359391,NC_007618.1,NC_007624.1,,,,,,,,,,,,
269796,NC_007643.1,,,,,,,,,,,,,
264732,NC_007644.1,,,,,,,,,,,,,
271848,NC_007651.1,NC_007650.1,,,,,,,,,,,,
339860,NC_007681.1,,,,,,,,,,,,,
290397,NC_007760.1,,,,,,,,,,,,,
347834,NC_007761.1,,,,,,,,,,,,,
321327,NC_007775.1,,,,,,,,,,,,,
106370,NC_007777.1,,,,,,,,,,,,,
316058,NC_007778.1,,,,,,,,,,,,,
279238,NC_007794.1,,,,,,,,,,,,,
222891,NC_007798.1,,,,,,,,,,,,,
376619,NC_007880.1,,,,,,,,,,,,,
138119,NC_007907.1,,,,,,,,,,,,,
316056,NC_007925.1,,,,,,,,,,,,,
265072,NC_007947.1,,,,,,,,,,,,,
296591,NC_007948.1,,,,,,,,,,,,,
266265,NC_007951.1,NC_007952.1,NC_007953.1,,,,,,,,,,,
316057,NC_007958.1,,,,,,,,,,,,,
290398,NC_007963.1,,,,,,,,,,,,,
323097,NC_007964.1,,,,,,,,,,,,,
335284,NC_007969.1,,,,,,,,,,,,,
266264,NC_007973.1,,,,,,,,,,,,,
204669,NC_008009.1,,,,,,,,,,,,,
384676,NC_008027.1,,,,,,,,,,,,,
246197,NC_008095.1,,,,,,,,,,,,,
164756,NC_008146.1,,,,,,,,,,,,,
266117,NC_008148.1,,,,,,,,,,,,,
377628,NC_008149.1,,,,,,,,,,,,,
360102,NC_008150.1,,,,,,,,,,,,,
393115,NC_008245.1,,,,,,,,,,,,,
266779,NC_008254.1,,,,,,,,,,,,,
269798,NC_008255.1,,,,,,,,,,,,,
195103,NC_008261.1,,,,,,,,,,,,,
289380,NC_008265.1,NC_008262.1,,,,,,,,,,,,
101510,NC_008268.1,,,,,,,,,,,,,
326424,NC_008278.1,,,,,,,,,,,,,
381666,NC_008314.1,NC_008313.1,,,,,,,,,,,,
