RefSoil_ID	NCBI_Accession_Number	RAST_ID
NC_000913	NC_000913.3	511145.227
NC_000963	NC_000963.1	272947.13
NC_000964	NC_000964.3	224308.192
NC_001263	NC_001263.1	243230.54
NC_001263	NC_001264.1	243230.53
NC_002488	NC_002488.3	160492.35
NC_002516	NC_002516.2	208964.96
NC_002570	NC_002570.2	272558.18
NC_002578	NC_002578.1	273075.14
NC_002678	NC_002678.2	266835.25
NC_002689	NC_002689.2	273116.12
NC_002927	NC_002927.3	257310.21
NC_002936	NC_002936.3	243164.22
NC_002937	NC_002937.3	882.26
NC_002939	NC_002939.5	243231.21
NC_002944	NC_002944.2	262316.32
NC_002971	NC_002971.3	227377.19
NC_002973	NC_002973.6	265669.21
NC_003030	NC_003030.1	272562.49
NC_003062	NC_003062.2	176299.29
NC_003062	NC_003063.2	176299.28
NC_003155	NC_003155.4	227882.42
NC_003197	NC_003197.1	99287.126
NC_003212	NC_003212.1	272626.18
NC_003272	NC_003272.1	103690.28
NC_003295	NC_003295.1	267608.24
NC_003361	NC_003361.3	227941.15
NC_003366	NC_003366.1	195102.28
NC_003552	NC_003552.1	188937.29
NC_003901	NC_003901.1	192952.26
NC_003902	NC_003902.1	190485.15
NC_003909	NC_003909.8	222523.35
NC_003997	NC_003997.3	198094.27
NC_004129	NC_004129.6	220664.38
NC_004193	NC_004193.1	221109.14
NC_004342	NC_004342.2	189518.28
NC_004342	NC_004343.2	189518.27
NC_004347	NC_004347.2	211586.27
NC_004369	NC_004369.1	196164.18
NC_004463	NC_004463.1	224911.4
NC_004547	NC_004547.2	218491.2
NC_004551	NC_004551.1	218496.9
NC_004556	NC_004556.1	183190.2
NC_004557	NC_004557.1	212717.21
NC_004572	NC_004572.3	203267.14
NC_004631	NC_004631.1	209261.23
NC_004663	NC_004663.1	226186.53
NC_004722	NC_004722.1	226900.31
NC_004757	NC_004757.1	228410.12
NC_005085	NC_005085.1	243365.21
NC_005125	NC_005125.1	251221.1
NC_005296	NC_005296.1	258594.21
NC_005363	NC_005363.1	264462.23
NC_005773	NC_005773.3	264730.28
NC_005823	NC_005823.1	267671.23
NC_005823	NC_005824.1	267671.22
NC_005861	NC_005861.1	264201.25
NC_005877	NC_005877.1	263820.13
NC_005945	NC_005945.1	260799.43
NC_005966	NC_005966.1	62977.17
NC_006155	NC_006155.1	273123.15
NC_006177	NC_006177.1	292459.1
NC_006274	NC_006274.1	288681.23
NC_006322	NC_006322.1	279010.43
NC_006350	NC_006350.1	272560.55
NC_006350	NC_006351.1	272560.56
NC_006361	NC_006361.1	247156.16
NC_006368	NC_006368.1	297246.21
NC_006369	NC_006369.1	297245.16
NC_006511	NC_006511.1	295319.24
NC_006513	NC_006513.1	76114.21
NC_006582	NC_006582.1	66692.14
NC_006624	NC_006624.1	69014.3
NC_006831	NC_006831.1	302409.8
NC_006834	NC_006834.1	291331.16
NC_006905	NC_006905.1	321314.18
NC_006932	NC_006932.1	262698.13
NC_006932	NC_006933.1	262698.14
NC_006958	NC_006958.1	196627.36
NC_007086	NC_007086.1	314565.11
NC_007164	NC_007164.1	306537.17
NC_007168	NC_007168.1	279808.15
NC_007204	NC_007204.1	259536.26
NC_007298	NC_007298.1	159087.13
NC_007333	NC_007333.1	269800.11
NC_007355	NC_007355.1	269797.24
NC_007356	NC_007356.1	255470.15
NC_007404	NC_007404.1	292415.13
NC_007406	NC_007406.1	323098.1
NC_007434	NC_007434.1	320372.14
NC_007434	NC_007435.1	320372.13
NC_007492	NC_007492.2	205922.22
NC_007493	NC_007493.2	272943.35
NC_007493	NC_007494.2	272943.34
NC_007498	NC_007498.2	338963.13
NC_007508	NC_007508.1	316273.15
NC_007510	NC_007509.1	482957.27
NC_007510	NC_007510.1	482957.28
NC_007510	NC_007511.1	482957.29
NC_007512	NC_007512.1	319225.14
NC_007514	NC_007514.1	340177.15
NC_007517	NC_007517.1	269799.15
NC_007519	NC_007519.1	207559.18
NC_007530	NC_007530.2	261594.63
NC_007613	NC_007613.1	300268.2
NC_007614	NC_007614.1	323848.11
NC_007618	NC_007618.1	359391.2
NC_007618	NC_007624.1	359391.21
NC_007644	NC_007644.1	264732.2
NC_007651	NC_007650.1	271848.43
NC_007651	NC_007651.1	271848.44
NC_007681	NC_007681.1	339860.23
NC_007760	NC_007760.1	290397.3
NC_007761	NC_007761.1	347834.51
NC_007775	NC_007775.1	321327.31
NC_007777	NC_007777.1	106370.23
NC_007778	NC_007778.1	316058.16
NC_007794	NC_007794.1	279238.28
NC_007798	NC_007798.1	222891.12
NC_007880	NC_007880.1	376619.13
NC_007907	NC_007907.1	138119.51
NC_007925	NC_007925.1	316056.21
NC_007947	NC_007947.1	265072.15
NC_007948	NC_007948.1	296591.19
NC_007958	NC_007958.1	316057.11
NC_007963	NC_007963.1	290398.2
NC_007964	NC_007964.1	323097.15
NC_007969	NC_007969.1	335284.12
NC_007973	NC_007973.1	266264.31
NC_008009	NC_008009.1	204669.18
NC_008027	NC_008027.1	384676.22
NC_008095	NC_008095.1	246197.45
NC_008146	NC_008146.1	164756.25
NC_008148	NC_008148.1	266117.16
NC_008149	NC_008149.1	377628.16
NC_008150	NC_008150.1	360102.16
NC_008245	NC_008245.1	393115.18
NC_008254	NC_008254.1	266779.15
NC_008255	NC_008255.1	269798.24
NC_008261	NC_008261.1	195103.21
NC_008268	NC_008268.1	101510.36
NC_008278	NC_008278.1	326424.23
NC_008313	NC_008313.1	381666.29
NC_008313	NC_008314.1	381666.28
NC_008343	NC_008343.1	391165.12
NC_008380	NC_008380.1	216596.38
NC_008390	NC_008390.1	339670.24
NC_008390	NC_008391.1	339670.25
NC_008390	NC_008392.1	339670.26
NC_008435	NC_008435.1	316055.22
NC_008463	NC_008463.1	208963.21
NC_008497	NC_008497.1	387344.25
NC_008508	NC_008508.1	355276.28
NC_008508	NC_008509.1	355276.29
NC_008510	NC_008510.1	355277.24
NC_008510	NC_008511.1	355277.23
NC_008536	NC_008536.1	234267.25
NC_008541	NC_008541.1	290399.32
NC_008542	NC_008542.1	331272.3
NC_008542	NC_008543.1	331272.32
NC_008542	NC_008544.1	331272.31
NC_008593	NC_008593.1	386415.14
NC_008595	NC_008595.1	243243.24
NC_008609	NC_008609.1	338966.14
NC_008639	NC_008639.1	290317.14
NC_008699	NC_008699.1	196162.19
NC_008700	NC_008700.1	326297.16
NC_008702	NC_008702.1	62928.18
NC_008705	NC_008705.1	189918.25
NC_008710	NC_008710.1	314724.8
NC_008711	NC_008711.1	290340.3
NC_008740	NC_008740.1	351348.16
NC_008752	NC_008752.1	397945.25
NC_008781	NC_008781.1	365044.31
NC_008782	NC_008782.1	232721.21
NC_008786	NC_008786.1	391735.13
NC_008789	NC_008789.1	349124.16
NC_008825	NC_008825.1	420662.21
NC_009012	NC_009012.1	203119.28
NC_009049	NC_009049.1	349101.15
NC_009049	NC_009050.1	349101.14
NC_009074	NC_009074.1	320373.14
NC_009074	NC_009075.1	320373.15
NC_009076	NC_009076.1	357348.22
NC_009077	NC_009077.1	164757.17
NC_009076	NC_009078.1	357348.23
NC_009142	NC_009142.1	405948.22
NC_009256	NC_009254.1	269482.34
NC_009256	NC_009255.1	269482.36
NC_009256	NC_009256.1	269482.35
NC_009328	NC_009328.1	420246.14
NC_009338	NC_009338.1	350054.27
NC_009342	NC_009342.1	340322.13
NC_009380	NC_009380.1	369723.13
NC_009428	NC_009428.1	349102.18
NC_009434	NC_009434.1	379731.23
NC_009436	NC_009436.1	399742.18
NC_009438	NC_009438.1	319224.23
NC_009439	NC_009439.1	399739.14
NC_009441	NC_009441.1	376686.25
NC_009445	NC_009445.1	114615.11
NC_009455	NC_009455.1	216389.19
NC_009464	NC_009464.1	351160.14
NC_009480	NC_009480.1	443906.37
NC_009483	NC_009483.1	351605.11
NC_009484	NC_009484.1	349163.23
NC_009494	NC_009494.2	400673.15
NC_009505	NC_009504.1	444178.14
NC_009505	NC_009505.1	444178.13
NC_009511	NC_009511.1	392499.33
NC_009512	NC_009512.1	351746.22
NC_009515	NC_009515.1	420247.34
